restaurant_name,pricyness,delivery_fee,street,city_name,latitude,longitude,coordinates,link,database
Avatar,2,2.90,Weserstr. 5,berlin,52.48812,13.42721,"52.48812,13.42721",https://wolt.com/en/deu/berlin/restaurant/avatar,wolt
7Sisters Sushi&more,2,2.90,Bergmannstraße 93,berlin,52.489431,13.392428,"52.489431,13.392428",https://wolt.com/en/deu/berlin/restaurant/7sisters-sushimore,wolt
Loui's Burgers,2,2.90,Zossener Str. 25,berlin,52.489630147725954,13.393484515939573,"52.489630147725954,13.393484515939573",https://wolt.com/en/deu/berlin/restaurant/louis-burgers,wolt
Bowl Your Soul,2,2.90,Weserstraße 213,berlin,52.4884245,13.4265715,"52.4884245,13.4265715",https://wolt.com/en/deu/berlin/restaurant/bowl-your-soul,wolt
Veggie & Vega,2,2.90,Bergmannstraße 27,berlin,52.48877,13.39524,"52.48877,13.39524",https://wolt.com/en/deu/berlin/restaurant/veggie-vega,wolt
Xua Quan ,2,2.90,"Ecke, Oppelner Str. 24, Görlitzer Str. 53",berlin,52.497322617030036,13.438699796293186,"52.497322617030036,13.438699796293186",https://wolt.com/en/deu/berlin/restaurant/xua-quan,wolt
Gloria,1,2.90,Görlitzer Str. 42,berlin,52.4963347,13.4418473,"52.4963347,13.4418473",https://wolt.com/en/deu/berlin/restaurant/gloria-goerlitzer-strasse,wolt
C'est l'ami du Bowl,2,2.90,Grünberger Straße 56,berlin,52.5117764,13.4561197,"52.5117764,13.4561197",https://wolt.com/en/deu/berlin/restaurant/c-est-l-ami-du-bowl,wolt
Tastavin Friedrichshain,2,2.90,Simon-Dach-Straße 22,berlin,52.5085836,13.4548093,"52.5085836,13.4548093",https://wolt.com/en/deu/berlin/restaurant/tastavin-friedrichshain,wolt
Slices of Doom,1,2.90,Revalerstraße 99,berlin,52.50760439333697,13.451306698809695,"52.50760439333697,13.451306698809695",https://wolt.com/en/deu/berlin/restaurant/slices-of-doom,wolt
Star Kitchen,2,2.90,Simon-Dach-Straße 37,berlin,52.5104663,13.4564339,"52.5104663,13.4564339",https://wolt.com/en/deu/berlin/restaurant/star-kitchen,wolt
Bubbletea World,2,2.90,Kottbusserdamm 29-30,berlin,52.48931,13.42389,"52.48931,13.42389",https://wolt.com/en/deu/berlin/restaurant/bubbletea-world,wolt
Amrit Kreuzberg,3,2.90,Oranienstraße 202-204,berlin,52.499697779225045,13.424598334391604,"52.499697779225045,13.424598334391604",https://wolt.com/en/deu/berlin/restaurant/amrit-kreuzberg,wolt
Polish Bistro - Maly Ksiaze,2,2.90,Lilienthalstr. 6,berlin,52.488072,13.4075433,"52.488072,13.4075433",https://wolt.com/en/deu/berlin/restaurant/polish-bistro-maly-ksiaze,wolt
"Mini - Wine, Food & Fun",3,2.90,Urbanstraße 126,berlin,52.4912426,13.4158799,"52.4912426,13.4158799",https://wolt.com/en/deu/berlin/restaurant/mini-wine-food-fun,wolt
