,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
80,Pizza Coach,9.2,14317,10.0,1.0,1121,30,american,Erich-Weinert-Str. 14,10115,Berlin,52.5516147,13.4163546,lieferando
81,Pizza Nostra,8.0,2172,10.0,2.5,1302,50,italian,Lychener Straße 2,10115,Berlin,52.5410406,13.4148786,lieferando
82,Foodland,9.0,317,15.0,0.0,757,30,american,Residenzstraße 85,10115,Berlin,52.5591156,13.3731472,lieferando
83,Nhat Long,7.4,3836,9.9,0.0,1466,40,asian,Torstraße 210,10115,Berlin,52.52766,13.3906,lieferando
84,Gujrat Palace Restaurant,8.0,1027,10.0,0.0,1103,50,indian,Quellweg / rechter Betrieb 23,10115,Berlin,52.5380708,13.2696223,lieferando
85,iiu - Asian Fusion Food,8.0,5475,40.0,0.0,1183,35,asian,Oranienstr. 10-11,10115,Berlin,52.50018,13.42427,lieferando
86,Pizza Max,8.6,175,7.0,0.0,0,30,italian,Winsstraße 1,10115,Berlin,52.5310726,13.4228937,lieferando
87,Asia Food Tuan Linh,8.6,745,15.99,0.0,814,35,asian,Brunnenstraße / Kaufland 105-109,10115,Berlin,52.5479212,13.3906112,lieferando
88,Punjabi Tarka - Indischer Lieferservice,8.2,4784,20.0,0.0,1025,40,vegetarian or vegan,Danziger Str. 20,10115,Berlin,52.5402234,13.4158852,lieferando
89,La Gino,9.4,853,25.0,3.0,960,30,italian,Rudi-Dutschke-Straße 20,10115,Berlin,52.507,13.39219,lieferando
90,Bergmann Burger by BeefMan,9.0,441,40.0,1.0,0,30,american,Bergmannstraße 112,10115,Berlin,52.4902266,13.3873411,lieferando
91,Burger Dreams,8.4,933,10.0,0.0,906,30,american,Ritterlandweg 59,10115,Berlin,52.5607013,13.376315,lieferando
92,Taj Mahal Haus 3,9.2,1044,29.0,0.0,0,40,italian,Hauptstraße 54,10115,Berlin,52.4812756,13.3472078,lieferando
93,Tasty India,8.6,326,10.0,0.0,0,30,indian,Metzer Straße 21,10115,Berlin,52.5305501,13.4183242,lieferando
94,Dawat Indische Spezialitäten,8.4,5031,15.0,0.0,1168,40,indian,Celsiusstr. 56,10115,Berlin,52.412163,13.3125831,lieferando
95,Fresh's,8.8,1042,9.9,1.9,788,35,italian,Oranienburger Straße 13/13-14,10115,Berlin,52.5238316,13.3985704,lieferando
96,Indda,9.4,3039,15.0,0.5,1042,40,indian,Wollankstr. 118,10115,Berlin,52.5670287,13.3977573,lieferando
97,BEN RAHIM,10.0,5,10.0,1.99,675,25,breakfast/dessert,Sophienstraße 7,10115,Berlin,52.5252133,13.4018684,lieferando
98,Sadhu 3,9.4,345,12.0,0.0,0,30,indian,Stargarder Straße 60,10115,Berlin,52.545495,13.4216617,lieferando
99,Burger Stop Pizza,8.2,209,10.0,0.0,910,35,italian,Danzigerstrasse 125,10115,Berlin,52.535965,13.4343698,lieferando
100,Apna Virsa,8.8,86,20.0,2.0,0,40,indian,Gustav-Müller-Straße 1,10115,Berlin,52.485443,13.3622971,lieferando
101,King of India,8.2,9336,30.0,0.0,1098,60,vegetarian or vegan,Adamstraße 48,10115,Berlin,52.5209017,13.197039,lieferando
102,Pizza Hut,4.6,142,15.0,5.0,1525,90,italian,Leipziger Platz 12,10115,Berlin,52.5104461,13.3800834,lieferando
103,Mix & Match,9.6,492,12.0,0.0,763,30,middle eastern,Markgrafenstrasse 56,10115,Berlin,52.5085125,13.3938621,lieferando
104,Fatih Servet Döner,8.6,31,10.0,1.99,724,35,vegetarian or vegan,Europaplatz / Hauptbahnhof Berlin 1,10115,Berlin,52.5250839,13.369402,lieferando
105,Mizyan Restaurant,9.2,1205,18.0,2.5,776,20,middle eastern,Gustav-Adolf-Straße 145 -146,10115,Berlin,52.5548742,13.4371406,lieferando
106,Royals & Rice x Sons of Mana,8.0,209,30.0,2.5,954,55,asian,Friedrichstraße 67,10115,Berlin,52.5126154,13.3905721,lieferando
107,Red Dragon Lieferservice,9.0,7039,23.0,0.0,858,40,asian,Danziger Str. 29,10115,Berlin,52.54074,13.41774,lieferando
108,Kenko Sushi,8.0,695,10.0,0.0,1293,50,asian,Schönhauser Allee 163,10115,Berlin,52.5354241,13.4119296,lieferando
109,Hatoki,8.6,890,20.0,0.0,1035,40,asian,Grellstr. 74,10115,Berlin,52.5450064,13.42991,lieferando
110,Burgerzimmer,7.8,857,12.0,0.0,974,60,american,Danziger Str. 63,10115,Berlin,52.5396986,13.422779,lieferando
111,Nymami,9.2,724,20.0,0.0,951,30,middle eastern,Danziger Straße 43,10115,Berlin,52.5402119,13.4195491,lieferando
112,BurgerVision,8.4,4157,11.99,0.0,724,40,american,Torstraße 128,10115,Berlin,52.5294196,13.4005565,lieferando
113,Asuka Sushi,8.6,4431,12.0,0.0,969,30,asian,Gleimstr. 27,10115,Berlin,52.5475952,13.4123576,lieferando
114,Chibee - Korean Chicken & Beer,8.2,1611,10.0,2.99,1256,35,asian,Tegelerstraße 29A,10115,Berlin,52.54295,13.35608,lieferando
115,Habba Habba,8.8,3816,15.0,2.5,887,30,middle eastern,Kastanienallee 15,10115,Berlin,52.5388499,13.4096638,lieferando
116,Pizzas 'n Burgers STOP,8.2,56,10.0,0.0,0,40,italian,Danziger Straße 12,10115,Berlin,52.5403402,13.4149689,lieferando
117,Bollywood,9.0,813,15.0,0.0,1164,60,indian,Havemannstraße 24,10115,Berlin,52.5677732,13.5722306,lieferando
118,Raja,7.6,249,12.0,0.0,1165,75,indian,Marienfelder Allee 220,10115,Berlin,52.40748,13.3573,lieferando
119,Star of India Lieferservice,8.2,2306,12.0,0.0,1358,50,asian,Glasower Straße 52,10115,Berlin,52.4644024,13.4378733,lieferando
120,Saiko Sushi,8.0,1704,18.0,0.0,1282,40,asian,Bornholmer Straße 5,10115,Berlin,52.5543535,13.4129026,lieferando
121,Papa No,8.2,6435,15.0,0.0,931,30,asian,Danziger Straße 11,10115,Berlin,52.5409453,13.4147573,lieferando
122,KFC,3.0,77,15.0,2.0,0,90,american,Leipziger Platz 12,10115,Berlin,52.5102491,13.3799541,lieferando
123,Asiagourmet,8.4,22,10.0,1.99,947,35,asian,Europaplatz 1,10115,Berlin,52.5249111,13.369492,lieferando
124,Thai Son Imbiss,8.4,691,10.0,2.99,667,40,asian,Torfstraße 24,10115,Berlin,52.54055,13.35073,lieferando
125,Lovely Sushi,8.8,1093,15.0,0.0,1056,40,asian,Anton-Saefkow-Platz 4,10115,Berlin,52.52993,13.47182,lieferando
126,The Orient House,8.6,210,50.0,0.0,0,40,middle eastern,Moritzstraße 5,10115,Berlin,52.538115,13.20241,lieferando
127,Dana Pani Indische Spezialitäten,8.2,3933,15.0,0.0,1168,40,indian,Britzer Damm 125,10115,Berlin,52.4515217,13.4384131,lieferando
128,Pizza Kartell,8.2,764,20.0,0.0,0,30,italian,Fidicinstraße 43,10115,Berlin,52.4875423,13.3877248,lieferando
129,Stop for Tea,8.4,4,10.0,1.99,0,35,middle eastern,Europaplatz 1,10115,Berlin,52.5251109,13.3704733,lieferando
130,Restaurant Al Hamra,9.0,1618,15.0,2.5,1182,45,healthy,Raumerstraße 16,10115,Berlin,52.5417818,13.4209256,lieferando
131,Com Dai Dung - Japanische Spezialitäten,7.8,1146,25.0,0.0,986,40,asian,Grunewaldstr. 54,10115,Berlin,52.4881688,13.3377084,lieferando
132,Damaru Indische Spezialitäten,7.8,277,15.0,0.0,1257,40,indian,Schnellerstrasse 112,10115,Berlin,52.4547691,13.5163746,lieferando
133,Ristorante Al Mondo,8.2,4219,49.0,0.0,1019,40,italian,Mühsamstr. 45,10115,Berlin,52.5199714,13.4498552,lieferando
134,Fünf & Sechzig,7.8,157,10.0,2.99,1054,40,american,Kiautschoustraße 12a/Torfstraße 9 9,10115,Berlin,52.5402216,13.3525806,lieferando
135,Crispy's Chicken,8.0,613,17.5,0.0,0,40,american,Hauptstraße 149,10115,Berlin,52.487888,13.3583794,lieferando
136,Don Sushi 15,9.0,206,30.0,0.0,987,25,asian,Brückenstr. 15,10115,Berlin,52.5115628,13.4165335,lieferando
137,dean & david,8.0,545,15.0,1.5,1114,75,vegetarian or vegan,Karl-Liebknecht-Str. 7,10115,Berlin,52.5208768,13.4055181,lieferando
138,Van Anh Quan,5.8,909,11.9,0.0,867,60,asian,Brunnenstraße 182,10115,Berlin,52.5315823,13.3994211,lieferando
139,Kaffee Kiana,8.8,150,10.0,0.0,0,55,vegetarian or vegan,Prenzlauer Allee 38,10115,Berlin,52.5350171,13.4223028,lieferando
140,McDonald's®,6.0,669,10.0,0.0,992,35,american,Europaplatz 1,10115,Berlin,52.5249111,13.369492,lieferando
141,Verona Italian Restaurant,8.6,545,15.0,0.0,1217,30,italian,Fischerinsel 5,10115,Berlin,52.51281,13.4082101,lieferando
142,Kong Vegan 385,9.2,124,15.0,2.0,877,40,vegetarian or vegan,Kollwitzstraße 48,10115,Berlin,52.5344185,13.4162803,lieferando
143,arko,0.0,0,10.0,1.99,786,30,breakfast/dessert,Europaplatz 1,10115,Berlin,52.5249111,13.369492,lieferando
144,My Indian Dream,8.4,204,10.0,0.0,1151,65,indian,Piesporter Straße 52,10115,Berlin,52.56269,13.4771,lieferando
145,WORLD OF PIZZA,8.4,190,14.9,0.0,0,30,italian,Ella-Kay-Str. 2a,10115,Berlin,52.5384765,13.4293162,lieferando
146,Domino's Pizza,5.0,680,4.9,0.0,980,90,italian,Stralsunder Str. 61,10115,Berlin,52.53959,13.39565,lieferando
147,Pizza El Fredo,8.0,276,8.5,1.5,0,35,italian,Friedrichstraße 14,10115,Berlin,52.50208,13.39149,lieferando
148,Yaman grill,7.4,53,10.0,2.99,853,40,vegetarian or vegan,Föhrer Str. 11,10115,Berlin,52.5415981,13.3491473,lieferando
149,Saha - Gaziantep Spezialitäten,8.2,367,15.0,1.5,719,20,vegetarian or vegan,Adalbertstraße 86,10115,Berlin,52.5020211,13.4195515,lieferando
150,Kamps Bäckerei mit Backstube,6.0,16,10.0,1.99,1656,35,cafes,Europaplatz 1,10115,Berlin,52.5257518,13.3685059,lieferando
151,Didim Restaurant,6.8,9,10.0,2.99,0,40,vegetarian or vegan,Föhrer Straße 13,10115,Berlin,52.5417129,13.3496269,lieferando
152,Sushi San,8.0,169,30.0,0.0,0,40,asian,Erich-Steinfurth-Straße 10,10115,Berlin,52.5115254,13.4343133,lieferando
153,Hans im Glück,6.2,176,10.0,1.99,1191,35,american,Europaplatz 1,10115,Berlin,52.5249111,13.369492,lieferando
154,Viet Street,8.4,108,20.0,0.0,1101,15,asian,Dircksenstr. 93,10115,Berlin,52.5180296,13.4154194,lieferando
155,Hell's Kitchen Bärlin,6.8,206,18.0,0.0,0,60,american,Otternbuchtstraße 37,10115,Berlin,52.5373829,13.2479482,lieferando
156,Tandoori Nawab,6.8,1761,29.0,0.0,998,60,indian,Mariendorfer Damm 100,10115,Berlin,52.4433785,13.3859667,lieferando
157,Falafel Al Amin,9.2,186,10.0,2.99,0,40,middle eastern,Triftstrasse 6,10115,Berlin,52.5446054,13.359932,lieferando
158,Köfteci Musti,9.4,112,10.0,2.99,0,40,american,Brüsseler Straße 51,10115,Berlin,52.5485504,13.3530704,lieferando
159,Street Burger -Homemade-,6.4,579,18.0,0.0,0,40,american,Flottenstraße 58,10115,Berlin,52.5769288,13.3684896,lieferando
160,Hubertha vietnamesisches Restaurant und Cafe,7.4,847,10.0,1.99,1106,35,vegetarian or vegan,Tegeler Strasse 31,10115,Berlin,52.5425574,13.3563213,lieferando
161,Burger Boss,7.4,88,15.0,0.0,0,85,american,Eichborndamm 150,10115,Berlin,52.5822672,13.3196328,lieferando
162,Delhi 6,6.6,249,23.0,1.0,1304,55,indian,Friedrichstraße 237,10115,Berlin,52.50205,13.39094,lieferando
163,Mr. Beef,6.2,1115,15.0,0.0,1025,60,american,Nonnendammallee 42,10115,Berlin,52.5378895,13.2469503,lieferando
164,Cispace,8.8,83,10.0,2.99,960,40,vegetarian or vegan,Bugenhagenstraße 9,10115,Berlin,52.527942,13.341623,lieferando
165,Wilhelms Burger,8.4,1154,10.0,2.99,796,40,american,Wilhelmshavener Straße 3,10115,Berlin,52.527977,13.3422339,lieferando
166,Hanoi Bistro,8.4,76,10.0,2.99,739,40,asian,Arminiusstraße 2-4,10115,Berlin,52.527491,13.3385216,lieferando
167,Subway,4.4,36,10.0,1.99,0,30,healthy,Europaplatz 1,10115,Berlin,52.5249111,13.369492,lieferando
168,Alles Perfetto bei Petersen,7.8,30,10.0,2.99,1395,40,steak,Müllerstraße/Karstadt Feinkost 25,10115,Berlin,52.5463538,13.3598263,lieferando
