restaurant_name,platform,reviews,avg_review_score,street,zip_code,city,latitude,longitude,type_of_cuisine,avg_delivery_time,pricyness,delivery_fee,minimum_order_value
Yama Sushi & More,lieferando,20,4.5,Manfred-von-Richthofen-Straße 18,14199,Berlin,52.483225,13.3818386,"['sushi_51', 'asian_1864', 'vietnamese_261']",35,0,199,0
Bonfini,lieferando,32,4.1,Chausseestraße 15,14199,Berlin,52.5295285,13.3848003,"['italian-pizza_271', 'italian_21', 'pasta_1614']",20,1190,0,0
Trattoria Amici,lieferando,1520,4.5,Nachodstr. 6,14199,Berlin,52.4953824,13.3338113,"['italian-pizza_271', 'italian_21', 'pasta_1614']",50,838,100,1500
Snack Swan,lieferando,32,4.1,Wilmersdorfer Straße 0 - U-Bhf.,14199,Berlin,52.5057497,13.3070244,"['falafel_1256', 'arab_1246', 'syrian_2438']",90,0,300,2999
Dunkin' Donuts,lieferando,43,3.9,Europaplatz 1,14199,Berlin,52.5249111,13.369492,"['desserts_954', 'cake_251']",35,1100,199,0
Restaurant Neumann's,lieferando,41,3.5,Alt Moabit 126,14199,Berlin,52.5229,13.3583501,"['indian_71', 'german_431', 'german_441']",35,1048,199,0
Trattoria Gino,lieferando,8,3.5,Welserstraße 27,14199,Berlin,52.4993922,13.3422107,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",90,0,0,0
Lookma,lieferando,14,4.2,Hauptstraße 155,14199,Berlin,52.4891872,13.3595757,"['desserts_954', 'cake_251']",35,0,199,0
BURGER KING ®,lieferando,131,3.4,Alexanderplatz 8,14199,Berlin,52.5229508,13.4127606,"['burgers_541', 'american_381', 'snacks_201']",40,0,199,0
King Dong,lieferando,1569,3.2,Eisenacher Straße 62,14199,Berlin,52.4849432,13.3529211,"['chinese_41', 'vegetarian_391', 'asian_1864']",50,739,0,0
Linh Linh Restaurant,lieferando,109,4.3,Stresemannstr. 105,14199,Berlin,52.50601,13.37999,"['asian_1864', 'vietnamese_261']",40,829,199,0
Kleine Auszeit,lieferando,0,0.0,Altmarkstraße 10,14199,Berlin,52.4621418,13.3423758,"['italian_21', 'snacks_201', 'breakfast_361']",30,0,199,1000
Tole's Backshop,lieferando,4,5.0,Welserstraße 30,14199,Berlin,52.4997151,13.3430938,"['baked-goods_2468', 'breakfast_361']",45,0,199,0
Stop for Tea,lieferando,4,4.2,Europaplatz 1,14199,Berlin,52.5251109,13.3704733,"['falafel_1215', 'sandwiches_671', 'snacks_201']",35,0,199,0
Piazza Grande,lieferando,71,4.5,Prinzregentenstraße 1,14199,Berlin,52.492801,13.3327031,"['italian-pizza_271', 'italian_21', 'pasta_1614']",30,0,0,1000
Army Food,lieferando,50,4.7,Mauerstr. 1,14199,Berlin,52.5082857,13.3898265,"['salads_1456', 'russian_781']",40,821,199,0
Aprikosenbaum,lieferando,0,0.0,Körnerstraße 12,14199,Berlin,52.50088,13.3665101,"['greek_91', 'falafel_1215']",30,0,199,0
Rausch Schokoladenhaus (Café),lieferando,22,4.8,Mohrenstr. 20,14199,Berlin,52.51198,13.3908001,"['desserts_954', 'cafe_2134', 'cake_251']",40,0,199,0
Trattoria Fidelia,lieferando,420,3.8,Lüneburger Straße 390,14199,Berlin,52.5195645,13.3557979,"['italian-pizza_271', 'italian_21', 'noodles_2258']",35,1002,199,0
La Trattoria,lieferando,157,4.2,Stülpnagelstraße 2,14199,Berlin,52.5106983,13.2835572,"['italian-pizza_271', 'italian_21', 'pasta_1614']",40,0,0,2000
Rita Grill,lieferando,931,4.4,Spandauer Damm 44,14199,Berlin,52.5192622,13.290649,"['burgers_541', '100-halal_921', 'arab_1246']",45,1065,100,1200
Starbucks,lieferando,59,4.3,Friedrichstraße 61,14199,Berlin,52.5111048,13.3899791,"['cafe_2134', 'cake_251', 'drinks-and-snacks_661']",40,599,0,0
Station - Cucina Italiana,lieferando,453,4.6,U-Bahnhof Fehrbelliner Platz 00,14199,Berlin,52.490421,13.314223,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",50,933,0,1200
Planet Wein,lieferando,69,4.7,Mohrenstraße 30,14199,Berlin,52.5121813,13.3926386,['drinks_241'],40,1899,199,0
Pizza Rosa,lieferando,246,3.9,Hindenburgdamm 58b,14199,Berlin,52.4478976,13.3156132,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",35,808,0,1200
Diazo,lieferando,28,4.1,Berliner Straße 52 c,14199,Bernau bei Berlin,52.677168,13.584852,"['italian-pizza_271', 'mexican_221', 'pasta_1614']",40,1101,200,5000
Amba Indisch Restaurant,lieferando,172,4.0,Hermannstr. 93,14199,Berlin,52.4704567,13.429202,"['indian_71', 'falafel_1215', '100-halal_921']",40,0,0,1500
Pizza Bleibtreu,lieferando,644,4.4,Bleibtreustraße 41,14199,Berlin,52.503071,13.3198672,"['italian-pizza_271', 'italian_21', 'snacks_201']",40,700,0,2000
Golden Tea Garden,lieferando,424,4.7,Leonoren Straße 60,14199,Berlin,52.4397959,13.3426602,"['sushi_51', 'chinese_41', 'thai_61']",50,0,0,4000
Mayan,lieferando,46,4.2,Spandauer Damm 44,14199,Berlin,52.5192243,13.2904737,"['vegetarian_391', '100-halal_921', 'arab_1246']",40,0,100,1200
Tegernseer Tönnchen,lieferando,797,4.9,Berliner Straße 118,14199,Berlin,52.4862601,13.3178044,"['german_431', 'schnitzel_1654', 'german_441']",40,1233,0,2000
Green Papaya,lieferando,3836,4.0,Pestalozzistraße 33,14199,Berlin,52.5079268,13.3058488,"['sushi_51', 'chinese_41', 'vietnamese_261']",40,888,0,2300
De Niros Steinofenpizza,lieferando,322,4.2,Bundesallee 48a,14199,Berlin,52.4846857,13.3306472,"['italian-pizza_271', 'italian_21', 'pasta_1614']",40,0,0,1500
Ristorante Da Toni,lieferando,79,4.7,Pariser Straße 18a,14199,Berlin,52.4983,13.31914,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",30,0,0,3500
Mercosy Kreuzberg,lieferando,519,4.1,Dresdener Str. 11,14199,Berlin,52.5006984,13.4177965,"['falafel_1215', 'lunch_351', 'korean_1114']",50,864,199,0
Leonidas Gyros & Souvlaki,lieferando,1156,4.0,Kurfürstendamm 165-166,14199,Berlin,52.4998187,13.3079088,"['greek_91', 'sandwiches_671', 'steak_401']",45,780,0,1500
Curry at the Wall Berlin Mitte,lieferando,10,4.7,Zimmerstraße 100,14199,Berlin,52.50752,13.3858099,"['lunch_351', 'german_441', 'snacks_201']",40,950,199,0
The Small Garden,lieferando,10,4.8,Charlottenstraße 79-80,14199,Berlin,52.5080064,13.3918671,"['vegetarian_391', 'salads_1456', 'desserts_954']",40,0,199,0
Miteinander,lieferando,1841,4.6,Taunusstraße 11,14199,Berlin,52.47375,13.32221,"['german_431', 'schnitzel_1654', 'german_441']",50,1643,150,1500
Bella's Bistro,lieferando,0,0.0,Karl-Heinrich-Ulrichs-Straße 8b,14199,Berlin,52.5013029,13.3539319,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",30,715,199,0
