,restaurant_name,avg_review_score,reviews,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,opening_hours
6699,Landhaus Botanischer Garten,,,european,Unter den Eichen 5 Lichterfelde 12203 Berlin,Unter den Eichen 5,12203.0,Lichterfelde,"52.45192, 13.31035",52.45192,13.31035,here_maps,Mon-Sun: 10:00 - 18:00
6700,Erdal's Feinkost,,,vegetarian or vegan,Enzianstraße 2 Lichterfelde 12203 Berlin,Enzianstraße 2,12203.0,Lichterfelde,"52.44852, 13.30517",52.44852,13.30517,here_maps,Mon-Fri: 07:00 - 19:00 Sat: 07:00 - 15:00
6701,Cafeteria Fu Koserstraße,,,generic,Koserstraße 20 Dahlem 14195 Berlin,Koserstraße 20,14195.0,Dahlem,"52.46146, 13.29446",52.46146,13.29446,here_maps,Mon-Thu: 08:00 - 15:30 Fri: 08:00 - 15:00
6702,San Martin,,,steak,Habelschwerdter Allee 1 Dahlem 14195 Berlin,Habelschwerdter Allee 1,14195.0,Dahlem,"52.44625, 13.29354",52.44625,13.29354,here_maps,Tue-Sun: 12:00 - 23:00
6703,Coffee Cross,,,generic,Thielallee 34 Dahlem 14195 Berlin,Thielallee 34,14195.0,Dahlem,"52.45316, 13.28652",52.45316,13.28652,here_maps,"Mon-Fri: 08:00 - 19:00 Sat, Sun: 10:00 - 19:00"
6704,Il Buchetto,,,european,Tulpenstraße 20 Lichterfelde 12203 Berlin,Tulpenstraße 20,12203.0,Lichterfelde,"52.4509, 13.31022",52.4509,13.31022,here_maps,"Mon, Wed-Sun: 09:00 - 20:00"
6705,Mensa Fu Pharmazie,,,generic,KöniginLuiseStraße 2 Steglitz 14195 Berlin,KöniginLuiseStraße 2,14195.0,Steglitz,"52.4588, 13.30601",52.4588,13.30601,here_maps,Mon-Thu: 08:30 - 16:00 Fri: 08:00 - 14:30
6706,Die Oesteria,,,european,Enzianstraße 2 Lichterfelde 12203 Berlin,Enzianstraße 2,12203.0,Lichterfelde,"52.44852, 13.30517",52.44852,13.30517,here_maps,Mon-Fri: 11:00 - 17:00 Sat: 10:00 - 14:00
6707,Lauter Eis,,,breakfast/dessert,Hortensienstraße 12 Lichterfelde 12203 Berlin,Hortensienstraße 12,12203.0,Lichterfelde,"52.44854, 13.30639",52.44854,13.30639,here_maps,"Mon: 14:00 - 19:00 Tue-Fri: 15:00 - 18:00 Sat, Sun: 12:00 - 19:00"
6708,Bestofkebap,,,middle eastern,KöniginLuiseStraße 48 Dahlem 14195 Berlin,KöniginLuiseStraße 48,14195.0,Dahlem,"52.45793, 13.28959",52.45793,13.28959,here_maps,
6709,Miss Wu,,,asian,KöniginLuiseStraße 71 Dahlem 14195 Berlin,KöniginLuiseStraße 71,14195.0,Dahlem,"52.45904, 13.28298",52.45904,13.28298,here_maps,Mon-Sun: 12:00 - 23:00
6710,Silphion,,,european,Gardeschützenweg 68 Lichterfelde 12203 Berlin,Gardeschützenweg 68,12203.0,Lichterfelde,"52.44678, 13.30632",52.44678,13.30632,here_maps,
6711,Reinelts Weinstube,,,european,Gardeschützenweg 88 Lichterfelde 12203 Berlin,Gardeschützenweg 88,12203.0,Lichterfelde,"52.44584, 13.30418",52.44584,13.30418,here_maps,
6712,Surprise,,,european,Gardeschützenweg 102 Lichterfelde 12203 Berlin,Gardeschützenweg 102,12203.0,Lichterfelde,"52.44522, 13.30269",52.44522,13.30269,here_maps,
6713,Kawa,,,vegetarian or vegan,Moltkestraße 1 Lichterfelde 12203 Berlin,Moltkestraße 1,12203.0,Lichterfelde,"52.44712, 13.30609",52.44712,13.30609,here_maps,Mon-Fri: 07:30 - 17:30 Sat: 10:30 - 16:30
6714,Mundgerecht,,,european,Paulsenstraße 5 Steglitz 12163 Berlin,Paulsenstraße 5,12163.0,Steglitz,"52.46148, 13.31183",52.46148,13.31183,here_maps,Mon-Sun: 10:30 - 18:30
6715,Jung Bluth,,,generic,Lepsiusstraße 63 Steglitz 12163 Berlin,Lepsiusstraße 63,12163.0,Steglitz,"52.46041, 13.31734",52.46041,13.31734,here_maps,"Tue-Fri: 17:00 - 23:59 Sat, Sun: 12:00 - 23:59"
6716,Dokmai,,,asian,Muthesiusstraße 38 Steglitz 12163 Berlin,Muthesiusstraße 38,12163.0,Steglitz,"52.46024, 13.31755",52.46024,13.31755,here_maps,Mon-Thu: 10:00 - 22:00 Fri: 10:00 - 23:00 Sat: 12:00 - 23:00 Sun: 14:00 - 20:00
6717,Ristorante Matera,,,mediterranean,Birkbuschstraße 7 Steglitz 12165 Berlin,Birkbuschstraße 7,12165.0,Steglitz,"52.45244, 13.31988",52.45244,13.31988,here_maps,"Mon-Thu, Sat, Sun: 12:00 - 23:59 Fri: 09:00 - 23:59"
6718,Con Co,,,asian,Schloßstraße 49 Steglitz 12165 Berlin,Schloßstraße 49,12165.0,Steglitz,"52.45415, 13.31716",52.45415,13.31716,here_maps,"Mon-Fri: 12:00 - 23:00 Sat, Sun: 13:00 - 23:00"
6719,Goodies,,,vegetarian or vegan,Schloßstraße Steglitz 12165 Berlin,Schloßstraße,12165.0,Steglitz,"52.45601, 13.32041",52.45601,13.32041,here_maps,Mon-Fri: 10:00 - 20:00 Sat: 09:00 - 20:00
6720,Tele Pizza,,,italian,Hindenburgdamm 78 Lichterfelde 12203 Berlin,Hindenburgdamm 78,12203.0,Lichterfelde,"52.44722, 13.31504",52.44722,13.31504,here_maps,Mon-Sun: 11:00 - 23:00
6721,Sombrero,,,mediterranean,Wrangelstraße 11 Steglitz 12165 Berlin,Wrangelstraße 11,12165.0,Steglitz,"52.45565, 13.31727",52.45565,13.31727,here_maps,"Mon-Thu: 17:00 - 00:00 Fri, Sat: 17:00 - 21:00 Sun: 13:00 - 19:00"
6722,Eierschale Dahlem,,,italian,Podbielskiallee 50 Dahlem 14195 Berlin,Podbielskiallee 50,14195.0,Dahlem,"52.46441, 13.29753",52.46441,13.29753,here_maps,"Mon-Sun: 09:00 - 02:30, 16:00 - 23:59"
6723,Peter Pane Berlin Schloß,,,european,Schloßstraße 34 Steglitz 12163 Berlin,Schloßstraße 34,12163.0,Steglitz,"52.45731, 13.320598",52.45731,13.320598,here_maps,"Mon-Sat: 11:00 - 00:00, 11:00 - 21:30 Sun: 12:00 - 00:00, 12:00 - 21:30"
6724,La Fattoria,,,generic,Grunewaldstraße 8 Steglitz 12165 Berlin,Grunewaldstraße 8,12165.0,Steglitz,"52.45851, 13.31695",52.45851,13.31695,here_maps,Mon-Sun: 11:30 - 23:59
6725,Amar,,,asian,Schloßstraße 50 Steglitz 12165 Berlin,Schloßstraße 50,12165.0,Steglitz,"52.45405, 13.31684",52.45405,13.31684,here_maps,Mon-Sun: 11:30 - 23:59
6726,Indisches Restaurant Avtaar,,,asian,Lepsiusstraße 69 Steglitz 12163 Berlin,Lepsiusstraße 69,12163.0,Steglitz,"52.46005, 13.317",52.46005,13.317,here_maps,Mon-Sun: 11:30 - 22:00
6727,M&S Gemüsekebap,,,middle eastern,Hindenburgdamm 61 Lichterfelde 12203 Berlin,Hindenburgdamm 61,12203.0,Lichterfelde,"52.44899, 13.31564",52.44899,13.31564,here_maps,Mon-Sun: 10:00 - 00:00
6728,Asaki-Sushi,,,asian,Schloßstraße 66A Steglitz 12165 Berlin,Schloßstraße 66A,12165.0,Steglitz,"52.45368, 13.31693",52.45368,13.31693,here_maps,"Tue-Fri: 11:45 - 22:00 Sat, Sun: 14:45 - 22:00"
6729,Felino,,,italian,Birkbuschstraße 7 Steglitz 12165 Berlin,Birkbuschstraße 7,12165.0,Steglitz,"52.45244, 13.31988",52.45244,13.31988,here_maps,Mon-Sun: 12:00 - 23:30
