circle_id,kmradius,Unnamed: 0,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,distance_to_circle_center
28,2,1271,Ming Dynastie Mitte,9.2,,10.0,,2.0,50.0,asian,"Brückenstrasse 6, 10179.0, Berlin",Brückenstrasse 6,10179.0,Berlin,"52.5134234,13.4181172",52.5134234,13.4181172,wolt,1.7850886743199472
28,2,1276,La Gino,8.0,,10.0,,1.0,50.0,european,"Rudi-Dutschke-Straße 20, 10969.0, Berlin",Rudi-Dutschke-Straße 20,10969.0,Berlin,"52.50697564217489,13.392174971759124",52.50697564217489,13.392174971759124,wolt,0.6614597343317808
28,2,1277,NORDSEE - Berlin Spandauer Straße,8.2,,10.0,,1.0,50.0,seafood,"Spandauer Str. 4, 10178.0, Berlin",Spandauer Str. 4,10178.0,Berlin,"52.52070579999999,13.4046972",52.52070579999999,13.4046972,wolt,2.0568508099048013
28,2,1279,Pizza Point Zimmerstr.,8.2,,10.0,,1.0,50.0,italian,"Zimmerstraße 10, 10969.0, Berlin",Zimmerstraße 10,10969.0,Berlin,"52.5073228,13.3878867",52.5073228,13.3878867,wolt,0.9061447379163078
28,2,1280,Go!Fish - Spandauer Strasse,7.0,,10.0,,1.0,50.0,seafood,"This is a virtual venue, 10178.0, Berlin",This is a virtual venue,10178.0,Berlin,"52.5206084,13.404795",52.5206084,13.404795,wolt,2.0475486013294444
28,2,1281,Shezan,8.6,,10.0,,2.0,45.0,middle eastern,"Neue Roßstraße 13, 10179.0, Berlin",Neue Roßstraße 13,10179.0,Berlin,"52.51217999072536,13.408207427139809",52.51217999072536,13.408207427139809,wolt,1.2465584287838039
28,2,1283,Café Journale ,7.8,,10.0,,1.0,45.0,italian,"Lindenstraße 37, 10969.0, Berlin",Lindenstraße 37,10969.0,Berlin,"52.5068558,13.3984213",52.5068558,13.3984213,wolt,0.47596252861501115
28,2,1285,O'Tacos Berlin Spandauer Str.,7.4,,10.0,,2.0,50.0,european,"This is a virtual venue, 10178.0, Berlin",This is a virtual venue,10178.0,Berlin,"52.5206084,13.404795",52.5206084,13.404795,wolt,2.0475486013294444
28,2,1288,Mundo,8.4,,10.0,,2.0,45.0,mediterranean,"Zimmerstr. 19, 10969.0, Berlin",Zimmerstr. 19,10969.0,Berlin,"52.5075063,13.3895957",52.5075063,13.3895957,wolt,0.8279560519118196
28,2,1295,Momotaro Tavern,8.6,,10.0,,1.0,40.0,asian,"Panoramastraße 1A, 10178.0, Berlin",Panoramastraße 1A,10178.0,Berlin,"52.52119813848951,13.409617039645097",52.52119813848951,13.409617039645097,wolt,2.1991943377655434
