circle_id,spacing,Unnamed: 0,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
189,20,176,Spreegold Mitte,7.8,10.0,,€€,35.0,breakfast/dessert,Rosa-Luxemburg-Straße 2,10178,Berlin,52.5231703,13.4092207,wolt
189,20,179,Momotaro Tavern,8.6,10.0,,€,35.0,asian,Panoramastraße 1A,10178,Berlin,52.52119813848951,13.409617039645097,wolt
189,20,181,cafe camaleon,8.4,10.0,,€€€,35.0,cafes,Rosenthalerstraße 53,10178,Berlin,52.5258247,13.4038859,wolt
189,20,188,Monsieur Vuong,8.8,10.0,,€€,50.0,asian,Alte Schönhauser Str. 46,10119,Berlin,52.5266587656873,13.40794609384705,wolt
189,20,190,Eat Culture,8.6,10.0,,€€,35.0,healthy,Dircksenstraße 2,10178,Berlin,52.5216144,13.411286,wolt
189,20,207, Hofbräu Wirtshaus Berlin,8.4,10.0,,€€€,35.0,european,Karl-Liebknecht-Str. 30,10178,Berlin,52.5246416,13.4138208,wolt
189,20,209,YamYam,8.6,10.0,1.9,€€,,asian,Alte Schönhauser Str. 6,10119,Berlin,52.5276072,13.4081676,wolt
189,20,211,KAFFEEMITTE,9.0,10.0,1.9,€€,,breakfast/dessert,Weinmeisterstraße 9a,10178,Berlin,52.52521369999999,13.4061021,wolt
189,20,215,NORDSEE - Berlin Spandauer Straße,8.2,10.0,,€,35.0,seafood,Spandauer Str. 4,10178,Berlin,52.52070579999999,13.4046972,wolt
189,20,219,Pinocchio Berlin,8.0,10.0,,€€,35.0,european,Alexanderplatz 2,10178,Berlin,52.52082559999999,13.4144639,wolt
189,20,236,Eden - Vietnamese Restaurant,8.6,10.0,1.9,€€,,asian,Rosenstraße 19,10178,Berlin,52.5216976,13.4049481,wolt
189,20,241,Esra,7.8,10.0,,€,35.0,middle eastern,Rosa-Luxemburg-Straße 5,10178,Berlin,52.523637,13.409156,wolt
189,20,242,Global Tea,9.0,10.0,,€,50.0,breakfast/dessert,Max-Beer-Straße 13,10119,Berlin,52.52554070000001,13.4080503,wolt
190,20,1,Five Rivers,8.8,10.0,,€€,55.0,asian,Albrechtstraße 11,10117,Berlin,52.5214627,13.3848372,wolt
190,20,3,Hito Falafel,9.0,10.0,,€€,35.0,middle eastern,Chauseestraße 4,10115,Berlin,52.527779975720726,13.38692562524518,wolt
190,20,17,Chelany Mitte,8.6,10.0,,€€,35.0,fastfood,Torstraße 221,10115,Berlin,52.5276532,13.38861,wolt
190,20,20,Amrit Mitte,8.4,10.0,,€€€,35.0,middle eastern,Oranienburger Straße 45,10117,Berlin,52.525917599997776,13.389576901189136,wolt
190,20,23,Sushi Miyabi Mitte,8.0,10.0,,€€,35.0,asian,Georgenstraße 195,10117,Berlin,52.52005035643261,13.39064903068943,wolt
190,20,25,Ristorante Bella Vita,7.6,10.0,,€€,35.0,italian,Mittelstraße 62,10117,Berlin,52.5179452,13.389358,wolt
190,20,34,Steel Vintage Bikes Café Auguststr.,9.0,10.0,1.9,€,,breakfast/dessert,Auguststraße 91,10117,Berlin,52.52602558141521,13.390530028241969,wolt
190,20,41,Soul Sushi Berlin-Mitte,8.8,10.0,,€,55.0,asian,Oranienburger Str. 52,10117,Berlin,52.5259259,13.38825,wolt
190,20,50,At Home by ZENKICHI,9.6,,,€€€€,,asian,Johannisstrasse 20,10117,Berlin,52.52471,13.38885,wolt
190,20,53,Anand,8.0,10.0,,€€,55.0,middle eastern,Albrechtstraße 12,10117,Berlin,52.5211654,13.384961,wolt
190,20,57,Chupenga - Burritos & Salads Georgenstr.,8.4,10.0,,€,35.0,poke,Georgenstraße 200,10117,Berlin,52.51995687003612,13.389513147222218,wolt
190,20,62,Italofritzen,7.4,10.0,,€€,35.0,european,Friedrichstraße 105,10117,Berlin,52.5227282,13.3881445,wolt
190,20,64,Espresso House Friedrichstraße,7.6,10.0,1.9,€,,fastfood,Friedrichstraße 125,10117,Berlin,52.5258858,13.3868659,wolt
