Name,lat,lon
Restaurant Annarella,52.43899,13.30074
SUBWAY,52.44258,13.29385
Kantine Kolonie Abendruh,52.426318,13.286412
Ristorante Galileo,52.45292,13.28804
Coffreez,52.44327,13.29465
Tre-Stelle,52.44524,13.29345
Nea Olympia,52.44376,13.28944
Vecchio Mulino,52.44488,13.29497
House of Mmi,52.451234,13.281803
Kristall 2 Restaurant,52.44302,13.29701
Mensa Fu 2,52.45292,13.28804
Maria & Josef,52.44359,13.29568
Macedonia,52.44336,13.2952
Qwados,52.44562,13.29468
Fatica,52.43413,13.24731
Vietnams Restaurant,52.45215,13.27077
Bamboo,52.42864,13.25625
The Middle Way,52.42968,13.25995
Da Gelo 2,52.43592,13.25701
Onkel Toms Burger,52.45028,13.25293
Liberty Pizza,52.43577,13.2578
Walter's Coffey,52.42891,13.25604
Mai.88 Vietnamese Kitchen,52.45022,13.2543
Gartenhaus Cafe,52.43153,13.25781
Hanoian - Authentic Vietnamese Restaurant,52.4289,13.25945
Z88- Gastro,52.44205,13.25132
Restaurant Dubrovnik,52.43452,13.24962
La Scuola,52.43592,13.25701
Trecolori,52.43499,13.25778
Si,52.43866,13.24953
Nuovo Paladino,52.44111,13.2439
Ado's Cucina,52.42982,13.25991
La Mira,52.44524,13.29345
Antipasteria Garbatella,52.43763,13.25735
Café Tricky,52.4495,13.27557
Aparthotel Landhaus Lichterfelde mit Remise Anno 1895,52.43899,13.30074
Da Salvatore,52.44299,13.2973
Zehlendorfer Hof,52.43412,13.24702
La Fontana,52.4444,13.29463
Hirkari Sushi,52.42977,13.2573
Eis Azzurra,52.44498,13.29275
Cafe Kauderwelsch,52.45425,13.28842
Eiscafe Eiskimo,52.44261,13.29508
Asia Fu Loc,52.4289,13.25945
Com Bui,52.44843,13.27571
Shamrock Pub,52.43577,13.2578
Gelateria Vanilla,52.44369,13.29377
Kimchi Princess,52.49871,13.42608
Ankerklause,52.49583,13.42057
Santa Maria,52.50157,13.41779
Defne,52.49513,13.41702
Cocolo Ramenbar,52.49606,13.42237
3 Schwestern,52.50384,13.42446
Amrit - Kreuzberg,52.49975,13.4244
Gorgonzola Club,52.50119,13.41656
Spindler Coffeehouse,52.49626,13.42139
So36,52.50035,13.42223
