Name,lat,lon,Address
Il Castello,52.5614,13.20874,Streitstraße 27A Hakenfelde 13587 Berlin
Bootshaus Haselhorst,52.55072,13.23625,Bootshausweg 1 Haselhorst 13599 Berlin
Kale Gıda Lebensmittelmarkt - Quality Halal Product,52.56126,13.20812,Streitstraße 59 Hakenfelde 13587 Berlin
Ye-Mc,52.56146,13.20816,Streitstraße 58 Hakenfelde 13587 Berlin
Lasila,52.56205,13.20884,Streitstraße 30 Hakenfelde 13587 Berlin
Curry 55,52.56217,13.20833,Streitstraße 55 Hakenfelde 13587 Berlin
Wirtshaus Heimatliebe,52.55072,13.23625,Bootshausweg 1 Haselhorst 13599 Berlin
Pizza del Leo,52.55185,13.20986,Schäferstraße 14 Hakenfelde 13585 Berlin
Restaurant Cafe'Havelblick,52.55416,13.21045,Havelschanze 9 Hakenfelde 13587 Berlin
China Restaurant Swang Lung,52.56233,13.20836,Streitstraße 54 Hakenfelde 13587 Berlin
Ars Vini,52.55938,13.23962,Im Saatwinkel 15 Tegel 13599 Berlin
La Diva,52.57308,13.22354,Aalemannufer 31 Hakenfelde 13587 Berlin
Restaurant Emil's at Centrovital Hotel,52.5469,13.20954,Neuendorfer Straße 25 Hakenfelde 13585 Berlin
Call A Pizza,52.55153,13.19972,Schönwalder Straße 66 Spandau 13585 Berlin
Hähnchenprinz,52.57578,13.21318,Rustweg 1 Hakenfelde 13587 Berlin
Pong's,52.57303,13.22686,Jörsstraße 14 Konradshöhe 13505 Berlin
Fährhaus Spandau,52.57308,13.22354,Aalemannufer 31 Hakenfelde 13587 Berlin
Sutos,52.56866,13.20245,Wichernstraße 53 Hakenfelde 13587 Berlin
Raymons - das Fischrestaurant,52.54634,13.21172,FriedaArnheimPromenade 7 Hakenfelde 13585 Berlin
Night and Day,52.5501,13.20066,Schönwalder Straße 39 Spandau 13585 Berlin
Luitpold,52.55682,13.20425,Wegscheider Straße 7 Hakenfelde 13587 Berlin
Stilbruch,52.54879,13.2218,Eiswerderstraße 22 Hakenfelde 13585 Berlin
Bistro Class,52.54822,13.20066,Schönwalder Straße 85 Spandau 13585 Berlin
Maximilian,52.554198,13.198877,Fehrbelliner Tor Spandau 13585 Berlin
Havel Bistro,52.55588,13.2073,Streitstraße Hakenfelde 13587 Berlin
Pizzeria la Familia Spandau,52.54511,13.20759,Neuendorfer Straße 91 Spandau 13585 Berlin
Cafe' Sofra3,52.54792,13.20147,Schönwalder Straße 28 Spandau 13585 Berlin
Kochkunst,52.5469,13.20954,Neuendorfer Straße 25 Hakenfelde 13585 Berlin
Bowl Arena Spandau,52.54952,13.21058,Neuendorfer Straße 39 Hakenfelde 13585 Berlin
Conny's Eiscafe,52.57372,13.21641,Zu den Fichtewiesen 10 Hakenfelde 13587 Berlin
Pizza Hot & Fresh,52.55104,13.19986,Schönwalder Straße 69 Spandau 13585 Berlin
Bereket Grillhaus,52.55588,13.2073,Streitstraße 80 Hakenfelde 13587 Berlin
Café Hangôver,52.54501,13.20868,Triftstraße 2 Spandau 13585 Berlin
Shisha Café Sandmann,52.55171,13.19964,Schönwalder Straße 65 Spandau 13585 Berlin
Mevlana Grill,52.54851,13.20851,Kurstraße 22 Spandau 13585 Berlin
Trattoria Sale & Pepe,52.55655,13.2074,Streitstraße 76 Hakenfelde 13587 Berlin
Spandau Sushi - China Thai,52.54869,13.20164,Lynarstraße 20 Spandau 13585 Berlin
Café im Bienenstock,52.55903,13.24005,Im Saatwinkel 17 Tegel 13599 Berlin
Café Spandauer,52.54783,13.20096,Schönwalder Straße 89 Spandau 13585 Berlin
Asia Sushi Bar,52.43294,13.53571,Rudower Chaussee 12 Adlershof 12489 Berlin
SUBWAY,52.43294,13.53571,Rudower Chaussee 12 Adlershof 12489 Berlin
Taverna Odyssee,52.44803,13.50792,Sterndamm 59 Johannisthal 12487 Berlin
Alte Forno Sonnenallee,52.44283,13.53544,Sonnenallee Adlershof 12489 Berlin
Sushi and Friends,52.44806,13.50767,Sterndamm 57 Johannisthal 12487 Berlin
El Ganado,52.44732,13.50728,Sterndamm 63 Johannisthal 12487 Berlin
Esswirtschaft,52.43134,13.53259,Rudower Chaussee 24 Adlershof 12489 Berlin
Café Campus,52.4358,13.52929,GroßBerliner Damm 138 Adlershof 12489 Berlin
Cuccis,52.44413,13.53079,Adlergestell Niederschöneweide 12439 Berlin
Olivenbaum,52.43163,13.53475,Rudower Chaussee 15 Adlershof 12489 Berlin
Mani Mogo,52.43275,13.5323,ErichThiloStraße 3 Adlershof 12489 Berlin
Holz Kohlen Grill,52.44283,13.53544,Sonnenallee Adlershof 12489 Berlin
Ngân Long,52.43912,13.50762,Segelfliegerdamm 89 Johannisthal 12487 Berlin
Muttis Futterbude,52.44454,13.51758,GroßBerliner Damm 75 Johannisthal 12487 Berlin
MR. Wu Restaurant,52.43221,13.53691,Am Studio 1 Adlershof 12489 Berlin
Pinoli Cafe-Restaurant,52.44913,13.51264,Nieberstraße 12 Johannisthal 12487 Berlin
Olympia Greek-Food,52.43387,13.53825,Rudower Chaussee Adlershof 12489 Berlin
BURGER KING,52.45257,13.51483,MichaelBrücknerStraße 24 Niederschöneweide 12439 Berlin
Siena,52.45426,13.51764,Schnellerstraße 38 Niederschöneweide 12439 Berlin
Call A Pizza,52.45228,13.53135,Schnellerstraße 86 Niederschöneweide 12439 Berlin
Ristorante Villa Romana Berlin,52.43575,13.54824,Radickestraße 46 Adlershof 12489 Berlin
Venezia,52.43727,13.54482,FlorianGeyerStraße 109 Adlershof 12489 Berlin
Meet Saigon,52.43382,13.54032,FranzEhrlichStraße 5 Adlershof 12489 Berlin
Suppenkasper,52.43727,13.54482,FlorianGeyerStraße 109 Adlershof 12489 Berlin
Currywurst Nr 1,52.43555,13.54199,Dörpfeldstraße 1 Adlershof 12489 Berlin
P Two,52.43889,13.55046,Dörpfeldstraße 58 Adlershof 12489 Berlin
China-Restaurant Palast,52.43608,13.54341,Dörpfeldstraße 7 Adlershof 12489 Berlin
Blattlaus Adlershof,52.44139,13.5372,Neltestraße 19D Adlershof 12489 Berlin
Bistro la Petit,52.42983,13.54185,Am Studio 20 Adlershof 12489 Berlin
Himbeerfrosch,52.43875,13.54837,Hackenbergstraße 29 Adlershof 12489 Berlin
Athen,52.43494,13.54694,Radickestraße 57 Adlershof 12489 Berlin
Ristorante Il Porto,52.42515,13.52782,Semmelweisstraße 104 Altglienicke 12524 Berlin
Eat Green,52.43387,13.53825,Rudower Chaussee 5B Adlershof 12489 Berlin
Maharadscha,52.43584,13.54845,Radickestraße 44 Adlershof 12489 Berlin
Imbiss Bao Cun,52.43654,13.54404,Dörpfeldstraße 18 Adlershof 12489 Berlin
Bella Italia,52.43811,13.54896,Dörpfeldstraße 43 Adlershof 12489 Berlin
La Leona,52.43575,13.54824,Radickestraße 46 Adlershof 12489 Berlin
Hong Kong Haus,52.43434,13.54329,Weerthstraße 2 Adlershof 12489 Berlin
Adler Burger,52.43511,13.5424,Abtstraße 1 Adlershof 12489 Berlin
Il Mondo,52.43471,13.54311,Platz der Befreiung 1 Adlershof 12489 Berlin
Kobani Bistro,52.45447,13.51627,Schnellerstraße 36 Niederschöneweide 12439 Berlin
Springborn-Club,52.43645,13.49773,Springbornstraße 53 Johannisthal 12487 Berlin
Gaumenschmaus Hähnchengrill,52.43212,13.4963,Stubenrauchstraße 97 Rudow 12357 Berlin
Maximilian,52.43433,13.50173,Eisenhutweg 2 Johannisthal 12487 Berlin
Artemis,52.45312,13.52453,Schnellerstraße 97 Niederschöneweide 12439 Berlin
Serrano,52.45348,13.51805,Britzer Straße 17 Niederschöneweide 12439 Berlin
Cadadia,52.42846,13.52568,Rudower Chaussee 39 Adlershof 12489 Berlin
Kaiser Drachen Chinarestaurant,52.4354,13.50174,Stubenrauchstraße 78 Johannisthal 12487 Berlin
Lenders,52.4443,13.50582,Winckelmannstraße 9 Johannisthal 12487 Berlin
Pizza Chero,52.45473,13.51634,Schnellerstraße 112 Niederschöneweide 12439 Berlin
Caffe Kamee,52.42949,13.53025,Rudower Chaussee 25 Adlershof 12489 Berlin
Kranhaus Cafe,52.45426,13.52878,PaulTroppStraße 11 Oberschöneweide 12459 Berlin
Don Giovanni,52.44271,13.50643,Winckelmannstraße 37 Johannisthal 12487 Berlin
Il Monello,52.45291,13.51013,Sterndamm 7 Johannisthal 12487 Berlin
Eiskultur Berlin,52.4551,13.51484,Schnellerstraße 118 Niederschöneweide 12439 Berlin
Mia Toscana,52.43843,13.54985,Dörpfeldstraße 47 Adlershof 12489 Berlin
Ibo's Kebup,52.435131,13.54087,Rudower Chaussee Adlershof 12489 Berlin
Café an der Spree,52.45249,13.53402,BrunoBürgelWeg 9 Niederschöneweide 12439 Berlin
Cafeteria im Archenhold Gymnasium,52.45138,13.5229,Rudower Straße 7 Niederschöneweide 12439 Berlin
Steakhaus Mediterran,52.45311,13.53859,BrunoBürgelWeg 50 Niederschöneweide 12439 Berlin
Azuma,52.43302,13.53696,Rudower Chaussee 9 Adlershof 12489 Berlin
Tran Asia,52.43591,13.54324,AnnaSeghersStraße 109 Adlershof 12489 Berlin
Zamzam,52.45621,13.51947,Hainstraße 15 Niederschöneweide 12439 Berlin
Grill Profi,52.45068,13.50843,Sterndamm 35 Johannisthal 12487 Berlin
Pizza Capitol,52.43734,13.54687,Dörpfeldstraße 29 Adlershof 12489 Berlin
Beef Burger,52.44608,13.5064,Sterndamm 73 Johannisthal 12487 Berlin
Stern Bistro,52.45352,13.50955,Sterndamm 6 Johannisthal 12487 Berlin
Sonnen-Café,52.45261,13.50958,Sterndamm 11 Johannisthal 12487 Berlin
Die Küchengeister,52.43886,13.54988,Dörpfeldstraße 54 Adlershof 12489 Berlin
Cafe Zara,52.43555,13.54199,Dörpfeldstraße 1 Adlershof 12489 Berlin
Mensa Oase Hu Adlershof,52.42949,13.53025,Rudower Chaussee 25 Adlershof 12489 Berlin
Mac's Bistro,52.445269,13.504441,Sterndamm 86 Johannisthal 12487 Berlin
Lekker.Berlin,52.44988,13.53556,Erikastraße 35 Niederschöneweide 12439 Berlin
Olympia Greek Food,52.451982,13.52311,Rudower Straße 5A Niederschöneweide 12439 Berlin
Airleben-Cuisine,52.43382,13.54032,FranzEhrlichStraße 5 Adlershof 12489 Berlin
Al Castagno,52.58711,13.22581,Sandhauser Straße 11 Konradshöhe 13505 Berlin
Plitvice,52.58435,13.22735,Falkenplatz 1 Konradshöhe 13505 Berlin
Ristorante Emilio,52.60186,13.23964,Heiligenseestraße 51 Heiligensee 13503 Berlin
Straßenbahndepot,52.60588,13.21233,AltHeiligensee 73 Heiligensee 13503 Berlin
Tenniscasino Heiligensee,52.60023,13.2211,Elchdamm 171 Heiligensee 13503 Berlin
Seebad Heiligensee,52.60011,13.2131,Sandhauser Straße 132 Heiligensee 13503 Berlin
Pizzeria Piccola Verona,52.43987,13.27522,Berliner Straße 67 Zehlendorf 14169 Berlin
BAB & Kimchi,52.43987,13.27522,Berliner Straße 67 Zehlendorf 14169 Berlin
Café Lebensart,52.43625,13.26151,Clayallee 346 Zehlendorf 14169 Berlin
Romana,52.44308,13.28553,Unter den Eichen 84 Lichterfelde 12205 Berlin
Susido Restaurant,52.43219,13.25878,Teltower Damm 26 Zehlendorf 14169 Berlin
Ristorante Arcimboldo,52.43628,13.26071,Clayallee 347 Zehlendorf 14169 Berlin
Curry-Station,52.4316,13.25934,Teltower Damm 35 Zehlendorf 14169 Berlin
Veggie No. 1 - die Grüne Mensa,52.44694,13.28327,VantHoffStraße 6 Dahlem 14195 Berlin
Unser Feines Restaurant,52.43335,13.28675,Ringstraße 49 Lichterfelde 12205 Berlin
Tomasa,52.43475,13.26263,Berliner Straße 8 Zehlendorf 14169 Berlin
Efes Grill,52.43021,13.25935,Teltower Damm 42 Zehlendorf 14167 Berlin
Anneliese,52.43034,13.25979,Herbergerweg 2 Zehlendorf 14167 Berlin
Sumak,52.430846,13.259519,Teltower Damm 37 Zehlendorf 14167 Berlin
Asia MJ Snack,52.43063,13.2592,Teltower Damm 38 Zehlendorf 14167 Berlin
Borkowski's Curry & Chicken,52.43724,13.26216,Clayallee 336 Zehlendorf 14169 Berlin
Kaffeespezialitäten Coffee,52.43021,13.25935,Teltower Damm 42 Zehlendorf 14167 Berlin
Mühlengarten,52.43049,13.2671,Mühlenstraße 17 Zehlendorf 14167 Berlin
La Fontaine,52.4356,13.25872,OnkelTomStraße 1 Zehlendorf 14169 Berlin
Zehlendorfer Grill,52.43052,13.25873,Machnower Straße 1 Zehlendorf 14165 Berlin
The Asia Kitchen,52.43804,13.26187,Clayallee 327 Zehlendorf 14169 Berlin
Cafe Bistro Tableau,52.43219,13.25878,Teltower Damm 26 Zehlendorf 14169 Berlin
Block House,52.43149,13.25883,Teltower Damm 36 Zehlendorf 14169 Berlin
Civans Imbiss,52.43576,13.26122,Clayallee 352 Zehlendorf 14169 Berlin
MR. Tokyo,52.43219,13.25878,Teltower Damm 26 Zehlendorf 14169 Berlin
Lieblingswaffel,52.4348,13.26283,Berliner Straße 8A Zehlendorf 14169 Berlin
Burgerzimmer XII,52.4348,13.26283,Berliner Straße 8A Zehlendorf 14169 Berlin
