lat,lon
52.5279156,13.3261757
52.53276,13.3261
52.5237438,13.4004558
52.5200252,13.4037884
52.52414,13.33285
52.5270768,13.3293609
52.527491,13.3385216
52.5414729,13.4195869
52.5277375,13.3387882
52.5262359,13.3300355
52.524073,13.3299948
52.5240775,13.3296494
52.5271907,13.3394333
52.5241508,13.3290007
52.5239028,13.3285709
52.5217889,13.3270883
52.5239124,13.3867527
52.5338025,13.3869133
52.52217,13.33623
52.5242363,13.3299449
52.5265051,13.3878453
52.5293914,13.4076279
52.5221555,13.327275
52.52469,13.32724
52.539953,13.420754
52.5220873,13.3267584
52.5220904,13.32673
52.5209451,13.3220765
52.5217013,13.3267698
52.52239,13.33439
52.5217723,13.3245721
52.5297033,13.3987939
52.5206084,13.404795
52.5274407,13.3880775
52.540028,13.4169353
52.5294179,13.4000347
52.52184,13.32514
52.52879,13.39407
52.5057164,13.3314292
52.5104461,13.3800834
52.5178147,13.3414533
52.5329791,13.3955915
52.5252775,13.3931654
52.5301618,13.4012626
52.5226122,13.3490727
52.5232743,13.3884602
52.5285627,13.402465
52.5536578,13.3467468
52.5266373,13.3985995
52.52329,13.40217
52.5291843,13.4015253
52.5253433,13.4036946
52.5294329,13.4013343
52.550958,13.4183842
52.53063,13.40115
52.527203,13.3971057
52.5323829,13.3976359
52.5150921,13.3148693
52.5468921,13.418295
52.5169593,13.3803289
52.5200048,13.3894576
52.5402963,13.4157417
52.5505772,13.4144113
52.5416147,13.4218312
52.5251392,13.4211115
52.54634,13.41763
52.5259558,13.3078136
52.5123735,13.3164298
52.52798,13.39013
52.5195645,13.3557979
52.5244922,13.3015707
52.5212258,13.3854785
52.5126677,13.3181727
52.5310267,13.3009951
52.5371494,13.4214835
52.5436008,13.4201057
52.5089819,13.3221641
52.5372513,13.423466
52.5407312,13.4156938
52.527052,13.3888103
52.5159488,13.3040659
52.5419243,13.4018956
52.5078179,13.3180619
52.510059,13.3233782
52.5171669,13.3052716
52.5101626,13.322411
